country;RAAUC;population;RegularDeaths;2020Deaths;2021Deaths;2022Deaths;EXD2020;EXD2021;EXD2022;RDBP;IDPP2020;IDPP2021;IDPP2022;EDPP2020;EDPP2021;EDPP2022;X;Y
Colombia;52.0;51516562.0;227659.98467432952;300464.8301886793;139165.0;1126.2439024390244;72804.84551434976;-88494.98467432952;-226533.7407718905;4419.161058813077;5832.392895098071;2701.364271940352;21.86178305996088;1413.2318362849942;-1717.7967868727249;-4397.299275753116;8533.757167038422;4.243641697200384e-07
Costa Rica;12.0;5153957.0;22987.800000000003;26209.0;57039.0;53362.0;3221.199999999997;34051.2;30374.199999999997;4460.223474895116;5085.218988051317;11067.03063296803;10353.598215895088;624.9955131562016;6606.807158072914;5893.374740999973;16152.249621019344;0.0020088639109513504
Croatia;52.0;4060135.0;52565.02681992337;56847.77358490566;49082.399999999994;1024258.8571428572;4282.746764982294;-3482.6268199233746;971693.8303229338;12946.620449793754;14001.449110659045;12088.859114290533;252272.1183268185;1054.8286608652897;-857.7613355032221;239325.49787702473;26090.30822494958;0.06213392370618674
Cuba;12.0;11256372.0;104262.59999999999;112449.0;104860.0;143072.0;8186.400000000009;597.4000000000087;38809.40000000001;9262.540363804608;9989.808439166723;9315.61252595419;12710.311990399749;727.2680753621156;53.07216214958148;3447.7716265951417;19305.42096512091;0.0011291659506632997
Cyprus;52.0;896007.0;5868.628352490421;6523.547169811321;732086.0;508.0;654.9188173208995;726217.3716475096;-5360.628352490421;6549.757259140187;7280.6877287915395;817053.8846236692;566.9598563404081;730.9304696513526;810504.1273645292;-5982.797402799779;824334.5723524608;0.0006327627533494807
Czechia;52.0;10510750.0;110786.2988505747;129012.98113207548;18721.0;4020.4878048780483;18226.682281500776;-92065.2988505747;-106765.81104569665;10540.28483700732;12274.3839528174;1781.128844278477;382.51198105540027;1734.0991158100778;-8759.155992728845;-10157.772855951922;14055.512797095877;3.6392453540936686e-05
Denmark;52.0;5854240.0;53394.63601532567;54431.24528301887;428.0;96172.26666666666;1036.6092676932021;-52966.63601532567;42777.630651340995;9120.677665303381;9297.747492931425;73.10940446582306;16427.79706104749;177.0698276280443;-9047.56826083756;7307.119395744109;9370.856897397249;0.002806136588361169
Dominican Republic;12.0;11117874.0;43206.0;45861.0;57580.0;69084.0;2655.0;14374.0;25878.0;3886.1746409430434;4124.979290105284;5179.047720814249;6213.777921930037;238.8046491622409;1292.8730798712056;2327.603280986995;9304.027010919533;0.0005588998330013487
Ecuador;52.0;17797737.0;69773.44061302682;115195.69811320756;641768.0;134322.66666666666;45422.25750018074;571994.5593869732;64549.22605363984;3920.354627839866;6472.491312418402;36058.966373084404;7547.176737506946;2552.136684578536;32138.61174524453;3626.8221096670795;42531.4576855028;0.0004240526049748317
Egypt;12.0;109262178.0;561515.0;666200.0;1353.0;2705.3333333333335;104685.0;-560162.0;-558809.6666666666;5139.152543710047;6097.260847207348;12.383059030728822;24.760016529538095;958.1083034972999;-5126.769484679319;-5114.392527180509;6109.643906238077;2.2661104677538182e-07
